,f18_KOI_int,dr25_kepid,prot,Prot_adopted,prot_numflag,a18_period,m13_Prot,m15_Prot,w13_Per
5,10,6922244,7.46,a18,2.0,7.46,,82.12,
15,49,9527334,8.74,a18,3.0,8.74,8.55,8.59,8.6
16,63,11554435,5.49,a18,3.0,5.49,5.41,,5.39
17,64,7051180,2.23,a18,3.0,2.23,,,2.22
19,70,6850504,27.92,a18,2.0,27.92,,27.72,28.25
27,82,10187017,26.55,a18,3.0,26.55,26.57,26.4,26.74
32,84,2571238,20.23,a18,2.0,20.23,,20.27,32.54
33,85,5866724,7.9,a18,3.0,7.9,7.91,7.88,
36,92,7941200,16.38,a18,3.0,16.38,16.2,16.18,
37,94,6462863,21.86,a18,2.0,21.86,,,
44,103,2444412,22.97,a18,3.0,22.97,23.16,23.28,10.71
45,104,10318874,44.31,m15,2.0,,,44.31,
47,107,11250587,17.42,a18,3.0,17.42,17.33,17.58,
55,112,10984090,15.73,a18,2.0,15.73,,32.08,
57,115,9579641,16.34,a18,2.0,16.34,16.85,16.78,
60,116,8395660,22.51,a18,2.0,22.51,,20.33,
64,117,10875245,22.35,a18,2.0,22.35,,21.56,
68,118,3531558,20.6,a18,2.0,20.6,,49.68,
72,122,8349582,15.73,m15,2.0,34.16,,15.73,
77,127,8359498,30.49,a18,2.0,30.49,,33.24,
80,135,9818381,12.86,a18,3.0,12.86,12.85,,12.38
81,137,8644288,16.4,a18,2.0,16.4,,44.74,
84,139,8559644,17.14,a18,2.0,17.14,16.96,16.91,
88,144,4180280,39.72,a18,2.0,39.72,,44.85,
90,148,5735762,38.35,a18,2.0,38.35,,36.57,39.36
96,152,8394721,4.71,a18,2.0,4.71,,64.01,
100,153,12252424,26.86,a18,2.0,26.86,,45.46,
109,159,8972058,13.83,a18,2.0,13.83,,80.2,
111,161,5084942,19.52,a18,2.0,19.52,,42.39,26.74
112,166,2441495,16.51,a18,2.0,16.51,,71.94,
117,171,7831264,8.83,a18,3.0,8.83,,8.42,8.6
122,174,10810838,23.4,a18,2.0,23.4,,78.08,
123,176,6442377,5.83,a18,2.0,5.83,,58.37,
126,180,9573539,15.78,a18,3.0,15.78,15.76,15.59,15.94
127,186,12019440,21.2,a18,2.0,21.2,,21.43,
134,197,2987027,21.57,a18,2.0,21.57,35.21,34.47,
136,203,10619192,12.27,a18,3.0,12.27,12.16,12.05,12.5
137,209,10723750,10.93,a18,2.0,10.93,,10.72,
140,214,11046458,15.1,a18,2.0,15.1,,31.4,
146,237,8041216,12.13,d20,2.0,23.84,23.3,23.25,27.73
161,257,5514383,7.94,a18,2.0,7.94,7.86,7.86,
162,260,8292840,7.33,a18,2.0,7.33,,,
165,261,5383248,15.17,a18,3.0,15.17,14.92,14.86,15.3
166,262,11807274,7.86,a18,3.0,7.86,7.55,7.6,
169,265,12024120,12.48,a18,2.0,12.48,,24.49,
172,268,3425851,7.87,m13,3.0,,7.87,,7.97
173,269,7670943,6.11,a18,2.0,6.11,5.27,5.21,
174,271,9451706,10.2,a18,2.0,10.2,10.12,10.1,
178,274,8077137,13.07,m15,2.0,20.7,,13.07,
185,279,12314973,10.24,a18,2.0,10.24,20.8,20.82,
189,281,4143755,22.29,a18,2.0,22.29,,65.65,
193,283,5695396,17.88,a18,3.0,17.88,17.52,17.43,17.21
199,285,6196457,17.0,a18,2.0,17.0,,32.5,
202,288,9592705,13.57,a18,3.0,13.57,13.38,13.34,
207,292,11075737,21.81,a18,2.0,21.81,,19.77,
208,294,11259686,13.94,a18,2.0,13.94,12.1,12.09,12.37
209,295,11547513,15.75,m15,2.0,28.86,15.72,15.75,
212,297,11905011,8.81,a18,2.0,8.81,8.29,8.28,8.27
213,299,2692377,23.42,a18,2.0,23.42,22.96,23.0,23.43
216,303,5966322,21.53,d20,2.0,18.71,,56.21,
217,304,6029239,16.78,a18,2.0,16.78,16.5,16.57,14.42
219,305,6063220,31.46,a18,2.0,31.46,29.55,29.78,14.99
220,306,6071903,17.6,a18,3.0,17.6,17.82,17.77,17.84
221,307,6289257,14.31,a18,2.0,14.31,,13.62,
223,308,6291837,6.02,m15,2.0,23.34,,6.02,
226,315,7700622,33.4,a18,2.0,33.4,31.43,31.63,
227,316,8008067,19.68,a18,2.0,19.68,,26.4,
231,318,8156120,5.24,a18,3.0,5.24,4.92,4.99,
234,323,9139084,7.6,a18,3.0,7.6,7.64,7.64,7.97
235,327,9881662,13.3,a18,2.0,13.3,24.52,24.91,
238,330,11361646,11.84,d20,2.0,29.55,,25.6,27.73
240,331,10285631,16.87,m15,2.0,,,16.87,
243,333,10337258,7.26,a18,3.0,7.26,6.89,6.87,
245,337,10545066,35.39,a18,2.0,35.39,,33.4,31.85
246,338,10552611,30.77,m13,2.0,18.78,30.77,61.17,
249,341,10878263,18.44,a18,3.0,18.44,18.55,18.31,19.21
251,343,10982872,9.72,d20,2.0,29.48,,29.54,
254,344,11015108,12.18,d20,2.0,23.79,24.15,24.16,
255,345,11074541,34.93,a18,2.0,34.93,35.05,34.44,34.8
256,346,11100383,15.15,m13,3.0,15.54,15.15,15.08,14.99
257,348,11194032,35.94,a18,2.0,35.94,37.09,36.89,41.54
258,350,11395587,20.78,a18,2.0,20.78,19.67,19.71,
266,352,11521793,13.17,a18,2.0,13.17,,41.38,
268,355,11621223,10.8,a18,2.0,10.8,10.39,10.41,
