Kepler,koiname,Ecc,Ecc_low,Ecc_upp,Period,U_Per,Rp,U_Rp,Rovera,Rovera_low,Rovera-upp,RpRs,RpRs_low,RpRs_upp,Mstar,Mstar_low,Mstar_upp,Rstar,Rstar_low,Rstar_upp,Rho,Rho_low,Rho_upp,Temperature,Temperature_low,Temperature_upp,Metl,Metl_low,Metl_upp,Kepmag,relrho,relrho_low,relrho_upp
TrES-2,K00001.01,0.00850304850155,4.60746283712e-07,0.101348680442,2.47061339831,2.47061342303,13.2089823822,13.4869260335,0.126033792317,0.124907424727,0.127201919997,0.126038609484,0.125666021711,0.126447843064,0.97,0.89,1.05,0.96,0.94,0.98,1.54809374026,1.50583458447,1.59035289605,5850.0,5800.0,5900.0,-0.15,-0.25,-0.05,11.338,1.00269412076,0.978499877222,1.02793998535
HAT-P-7,K00002.01,0.0111694174992,3.35411649356e-06,0.125706412005,2.2047354334,2.20473546294,16.8830735252,17.13761475,0.240748382835,0.236826700101,0.244943447184,0.0777148316774,0.0776992432608,0.077731106815,1.55,1.45,1.65,1.99,1.96,2.02,0.278910428181,0.264824042919,0.292996813443,6350.0,6270.0,6430.0,0.26,0.18,0.34,10.463,1.00381419423,0.961054429054,1.04634794658
HAT-P-11,K00003.01,0.0911527225725,0.0638937604524,0.274009799331,4.88780240015,4.8878025549,4.88714207307,4.95173291861,0.0660934394097,0.0654498834305,0.0667630779246,0.0589042794081,0.0588310551499,0.0589663301648,0.86,0.8,0.92,0.76,0.75,0.77,2.74261921045,2.66091817593,2.82432024497,5101.0,5051.0,5151.0,0.31,0.26,0.36,9.174,0.784597113726,0.759732557822,0.808825654167
Kepler-4,K00007.01,0.0238923662823,3.38688436783e-07,0.211062221236,3.21367133532,3.21367224765,4.22078221023,4.3375963978,0.164711577857,0.16232942962,0.167240012715,0.0249440357648,0.0246946132939,0.0251681242175,1.09,1.02,1.16,1.55,1.51,1.59,0.409913811115,0.391601510275,0.428226111955,5781.0,5705.0,5857.0,0.09,-0.01,0.19,12.211,1.02248852719,0.875865680218,1.124959331
Kepler-410,K00042.01,0.184489092747,0.125949933966,0.415954059215,17.8336128594,17.8336595,2.78646833798,2.83103796264,0.0439620305757,0.0433597351026,0.0445992500501,0.018907139105,0.0187931273049,0.0190420903026,1.22,1.15,1.29,1.35,1.33,1.37,0.700093347506,0.670511938457,0.729674756556,6325.0,6250.0,6400.0,0.01,-0.09,0.11,9.364,1.63349798852,1.48472919547,1.77752971943
Kepler-93,K00069.01,0.0171359660715,3.50973697899e-07,0.179505169343,4.72673929585,4.72674015765,1.47655299514,1.50930065745,0.0801829715234,0.0793963726044,0.0810016990826,0.0148632273844,0.0148190099435,0.0149626632646,0.89,0.82,0.96,0.91,0.89,0.93,1.64247252151,1.59317017309,1.69177486993,5669.0,5594.0,5744.0,-0.18,-0.28,-0.08,9.931,0.999090891871,0.921543263013,1.05154273032
K00075.01,K00075.01,0.018484359179,1.70662466607e-06,0.183488248629,105.881623374,105.882375748,10.7227808095,11.0156947187,0.0249638823599,0.0242502343764,0.0257697193648,0.0380709047385,0.0379500133116,0.0382203419282,1.32,1.25,1.39,2.58,2.51,2.65,0.108465166515,0.0986046968318,0.118325636198,5896.0,5821.0,5971.0,-0.17,-0.27,-0.07,10.775,0.985466476262,0.89441139314,1.06272283556
Kepler-22,K00087.01,0.382841832601,0.00111898342856,0.44570931144,289.86552805,289.867423116,1.80615484287,1.83499048335,0.00473041671453,0.00468735461478,0.00477510615846,0.019933445031,0.0197246390158,0.0224050275457,0.85,0.8,0.9,0.83,0.82,0.84,2.12704417451,2.06788135641,2.18620699261,5570.0,5520.0,5620.0,-0.26,-0.32,-0.2,11.664,0.92054526947,0.278781377985,1.22020157381
K00092.01,K00092.01,0.367507985014,0.26402259024,0.689176526438,65.7045306515,65.7047036879,2.99840744834,3.12573533749,0.0149340267971,0.0147928353177,0.0150807678997,0.0261581378591,0.0253363541005,0.0269584906462,1.08,0.97,1.19,1.05,1.02,1.08,1.31566838344,1.27763514323,1.35370162365,5952.0,5833.0,6071.0,0.02,-0.13,0.17,11.667,0.378613539862,0.228284800453,0.55026188237
Kepler-7,K00097.01,0.0140570037866,1.7513609228e-07,0.150729578685,4.88548618534,4.88548738825,17.6819024772,18.042014655,0.149617069103,0.146761081263,0.152709202063,0.0822182521596,0.0820881411195,0.082360475181,1.28,1.21,1.35,1.97,1.93,2.01,0.236651272396,0.222564887134,0.250737657658,6027.0,5952.0,6102.0,0.1,0.0,0.2,12.885,0.999803897289,0.948261386645,1.05278968382
Kepler-14,K00098.01,0.0414977182084,2.56446881931e-06,0.199777199867,6.79012366692,6.79012565994,12.8696683394,13.1271890474,0.121599737017,0.119195947867,0.124209966474,0.0583608301453,0.0581929226268,0.0585290644752,1.34,1.26,1.42,2.02,1.98,2.06,0.228199441239,0.214113055977,0.242285826501,6378.0,6303.0,6453.0,-0.02,-0.12,0.08,12.128,0.914297952239,0.847636910711,0.978838977928
Kepler-464,K00107.01,0.107013445323,8.20340083243e-07,0.290516305874,7.2570375467,7.25708224725,3.43908072574,3.5403207345,0.0955848140004,0.0942070136121,0.0970469256928,0.0196891905842,0.0193831507322,0.0201072385286,1.2,1.12,1.28,1.6,1.56,1.64,0.411322449641,0.393010148801,0.429634750481,5862.0,5765.0,5959.0,0.27,0.16,0.38,12.702,0.849178564797,0.689330497583,0.990803745401
Kepler-467,K00118.01,0.233548003619,1.27892538023e-05,0.41064658953,24.9933694,24.9935838787,2.26295099142,2.35472186,0.0377701398289,0.0372484707779,0.0383223179891,0.0152419915142,0.0148164301177,0.0160249023095,1.01,0.94,1.08,1.36,1.32,1.4,0.562046771941,0.538099916996,0.585993626886,5747.0,5662.0,5832.0,0.03,-0.07,0.13,12.377,0.790959182511,0.453121034929,1.03972795737
Kepler-95,K00122.01,0.386095714288,0.255783366652,0.55930580738,11.5230844394,11.523094139,3.2896640433,3.38352134888,0.064841387153,0.0641012539917,0.0656169326419,0.0207820804162,0.0206307597127,0.0212505199759,1.12,1.04,1.2,1.45,1.41,1.49,0.522604893209,0.504292592369,0.540917194049,5699.0,5625.0,5773.0,0.3,0.2,0.4,12.346,0.367405127575,0.281402119527,0.420956091753
Kepler-506,K00257.01,0.0225597819753,2.63002758424e-07,0.209124848052,6.88340807516,6.88341066855,3.08807877029,3.17041441634,0.0734944168007,0.072590705275,0.0744448809206,0.0235728774813,0.0233544184321,0.0237815726156,1.23,1.13,1.33,1.2,1.17,1.23,1.00576790768,0.967734667473,1.04380114789,6184.0,6103.0,6265.0,0.12,0.02,0.22,10.868,1.02583897306,0.923444211226,1.14247374863
Kepler-96,K00261.01,0.389337408131,0.314976062123,0.580141147693,16.2384818625,16.2384911787,2.64714654059,2.73539541331,0.0345491070907,0.0342197865842,0.0348914822303,0.0257961922737,0.0255476649719,0.0260614017481,1.03,0.93,1.13,0.94,0.91,0.97,1.73966857982,1.68895759288,1.79037956676,5690.0,5613.0,5767.0,0.04,-0.03,0.11,10.297,3.05276344853,2.61191168884,3.44283255156
K00268.01,K00268.01,0.122305895682,0.0712180286057,0.381011215751,110.380996475,inf,3.04256916834,3.11825764309,0.013183929263,0.0129974648199,0.0133815764348,0.0204930701642,0.0202574011021,0.0207574324163,1.2,1.13,1.27,1.36,1.33,1.39,0.677555131087,0.647973722038,0.707136540137,6343.0,6258.0,6428.0,-0.04,-0.14,0.06,10.56,1.37194163403,1.2346584859,1.47119954301
K00269.01,K00269.01,0.0277865920295,5.67989103377e-07,0.455203244227,18.0118113888,18.0119277613,1.54925079327,1.59621705259,0.0454126745072,0.0446192771871,0.0462656934128,0.00978721661146,0.00952300204601,0.0101289445983,1.33,1.25,1.41,1.45,1.43,1.47,0.622618228566,0.588810903938,0.656425553194,6463.0,6353.0,6573.0,0.09,-0.02,0.2,10.927,1.15110526358,0.831363991524,1.66629947151
Kepler-454,K00273.01,0.0401656518806,7.54158303635e-07,0.348460213888,10.5737540544,10.5737660404,2.37953599585,2.47345271631,0.0519853838827,0.0515274267928,0.0524600682764,0.0198155015399,0.0192501652559,0.020489829972,1.15,1.04,1.26,1.1,1.07,1.13,1.20438593987,1.17198725377,1.23678462597,5739.0,5664.0,5814.0,0.35,0.25,0.45,11.457,1.03085446232,0.784486995762,1.36767222688
Kepler-509,K00276.01,0.440131330405,0.00951828979561,0.465380852202,41.7460094386,41.7461066036,2.66874991316,2.86356547298,0.0230530948308,0.0228372965668,0.0232772881013,0.0205431194851,0.0190837827924,0.0209401395873,1.05,0.98,1.12,1.19,1.17,1.21,0.88603363296,0.860678139489,0.911389126431,5982.0,5900.0,6064.0,-0.02,-0.12,0.08,11.854,0.64385705931,0.229612796813,0.869961043254
K00280.01,K00280.01,0.0989297634333,4.83764099562e-06,0.346571806021,11.8728774725,11.8728885028,2.19032200513,2.25792084204,0.0471308177578,0.0466737012811,0.0476063850301,0.0192921265611,0.0188264415997,0.0196586780964,1.03,0.94,1.12,1.04,1.02,1.06,1.28186105881,1.2438278186,1.31989429902,6134.0,6043.0,6225.0,-0.24,-0.34,-0.14,11.072,0.813029362592,0.559697463656,1.04640283758
Kepler-510,K00281.01,0.137911419901,0.0880210294067,0.618426054598,19.5564640797,19.5565261332,2.3501894179,2.4270961218,0.0485418601822,0.0476286296651,0.0495294219283,0.015600167282,0.015363231793,0.0161405991199,0.81,0.7,0.92,1.38,1.34,1.42,0.432452027534,0.407096534063,0.457807521005,5622.0,5516.0,5728.0,-0.4,-0.51,-0.29,11.947,1.55809724205,1.18338917224,2.07664088378
K00288.01,K00288.01,0.167255113494,0.0664702519728,0.412804447499,10.2753750166,10.2754060778,3.20766602379,3.26221807336,0.0938247470458,0.092444770896,0.0952909955488,0.0140588026062,0.0139305734504,0.0142378587352,1.41,1.33,1.49,2.09,2.06,2.12,0.21693033303,0.207069863347,0.226790802713,6174.0,6082.0,6266.0,0.22,0.12,0.32,11.02,0.658217644331,0.572582519091,0.727759977407
K00319.01,K00319.01,0.0242854095988,7.61457438034e-07,0.224015697684,46.151131226,46.1515025502,10.3562581971,10.6055847999,0.0353282818876,0.034616779907,0.0361021386709,0.0456084181619,0.0449478330329,0.0461812094152,1.29,1.23,1.35,2.08,2.04,2.12,0.201435309242,0.188757562506,0.214113055978,5882.0,5795.0,5969.0,0.16,0.06,0.26,12.711,0.943184551482,0.850528084046,1.02688346871
K00367.01,K00367.01,0.771662011584,0.729715804519,0.842741666136,31.5786707432,31.5786831366,4.72132427306,4.86871958924,0.0236275279633,0.0234303066531,0.0238315618841,0.0419886663322,0.0415167960507,0.0428066007533,1.11,1.02,1.2,1.03,1.0,1.06,1.43821993522,1.40159533354,1.4748445369,5755.0,5705.0,5805.0,0.2,0.12,0.28,11.105,0.053613000553,0.0446177457388,0.0604004472652
Kepler-540,K00374.01,0.0416984859108,2.35595581546e-07,0.531371677103,172.706808666,172.70755542,2.94736405736,3.01101843083,0.00922780162698,0.00911263835562,0.00934901645456,0.0234769361068,0.0231763073914,0.0264742062526,0.88,0.82,0.94,1.15,1.13,1.17,0.807149875495,0.776159827919,0.838139923071,5833.0,5783.0,5883.0,-0.27,-0.35,-0.19,12.209,1.88924536918,0.743939163455,3.3925070093
Kepler-643,K00674.01,0.27445468791,0.214269438886,0.492008503797,16.3388881999,16.338947263,11.2941110952,12.0730843281,0.0948251980942,0.0927742771787,0.0970704104572,0.0372145468226,0.0368694288213,0.0375322771578,1.27,1.05,1.49,2.78,2.59,2.97,0.0831096730439,0.0774751189392,0.0887442271486,4883.0,4808.0,4958.0,0.16,0.06,0.26,13.781,0.462740604275,0.414281407476,0.501529237738
K00974.01,K00974.01,0.140193364311,1.30841027946e-06,0.322122464395,53.5059326434,53.5061324032,2.60051645429,2.66058652622,0.029067678528,0.0284832445269,0.0297032379213,0.0128763671945,0.0127716937591,0.013102510647,1.21,1.13,1.29,1.85,1.81,1.89,0.269049958498,0.252146296184,0.285953620812,6253.0,6178.0,6328.0,-0.13,-0.23,-0.03,9.582,0.770948177034,0.604095090879,0.90462485856
Kepler-21,K00975.01,0.262234817377,0.107094651301,0.487757274964,2.78582191115,2.78583034333,1.70687838134,1.7498438698,0.204614657096,0.201029902569,0.208469603745,0.00845154921373,0.00828883498064,0.00860935879135,1.27,1.19,1.35,1.85,1.82,1.88,0.284544982286,0.269049958498,0.300040006074,6305.0,6255.0,6355.0,-0.03,-0.13,0.07,8.224,1.79545625628,1.31340053007,2.26457312918
Kepler-805,K01282.01,0.0445888318567,4.60822244217e-08,0.388601926397,30.8633988104,30.8644256782,2.61055769755,2.70571531781,0.037516574322,0.0369708011423,0.0380960723286,0.0150397856707,0.014570727113,0.0156471523679,1.08,1.01,1.15,1.59,1.56,1.62,0.376106486487,0.359202824173,0.393010148801,6034.0,5942.0,6126.0,-0.14,-0.24,-0.04,12.547,1.03711478269,0.751982408948,1.33019059862
Kepler-432,K01299.01,0.422981094546,0.293902145499,0.629671623443,52.5018831357,52.5029476431,14.7224247522,16.811977368,0.0646867513561,0.0614468670024,0.0687399306411,0.0299025535434,0.0291514547744,0.0304015640022,1.69,1.09,2.29,4.51,3.88,5.14,0.025355493471,0.0211295778925,0.0295814090495,4995.0,4917.0,5073.0,-0.07,-0.17,0.03,12.183,0.330955425496,0.228640400441,0.417090323645
Kepler-815,K01314.01,0.336004226834,0.0300070757935,0.504205122312,8.5752231475,8.57544122227,4.97635514081,5.58045661887,0.184668637012,0.178707378317,0.191514367468,0.0117485729048,0.0111665181256,0.0127144932643,1.69,1.19,2.19,3.88,3.45,4.31,0.0408505172589,0.0366246016804,0.0450764328374,5048.0,4973.0,5123.0,-0.03,-0.13,0.07,13.242,0.632157224611,0.28210054409,0.950824437605
Kepler-407,K01442.01,0.024955051134,1.26942378628e-07,0.302557784826,0.669312671822,0.669314668007,1.1411451958,1.18255122687,0.315563869931,0.312854568386,0.318369528058,0.0102481673748,0.00993528646895,0.0105897108081,1.02,0.95,1.09,1.02,1.0,1.04,1.34384115396,1.30862519081,1.37905711711,5476.0,5401.0,5551.0,0.33,0.26,0.4,12.521,1.05168426849,0.871083370848,1.23861790465
Kepler-408,K01612.01,0.674483987968,0.471240568053,0.874641459063,2.465023579,2.46504012641,0.688508547697,0.705026506732,0.15628448169,0.154697727613,0.157938408557,0.00521230044657,0.00512166646297,0.00693056890362,1.02,0.95,1.09,1.21,1.19,1.23,0.815601706652,0.790246213181,0.840957200123,6104.0,6030.0,6178.0,-0.2,-0.3,-0.1,8.769,1.46500139666,0.0739648803735,4.61028247395
Kepler-907,K01613.01,0.331590523457,0.0265413880705,0.497390763179,15.8663133354,15.8668246965,1.40271298734,1.48333477995,0.0505909700459,0.0499136866269,0.0513065777015,0.00958891557581,0.00908131664236,0.0101492797445,0.99,0.91,1.07,1.34,1.31,1.37,0.580359072781,0.556412217836,0.604305927726,6044.0,5927.0,6161.0,-0.24,-0.35,-0.13,11.049,0.598768171357,0.234068572491,0.900088903873
Kepler-910,K01618.01,0.0295165492695,7.52081338782e-08,0.334660475881,2.36438797563,2.36442021837,0.82837054812,0.877016988267,0.184743262994,0.182074549695,0.18757565602,0.00505869931242,0.00477938399779,0.00533145743961,1.29,1.2,1.38,1.5,1.47,1.53,0.53669127847,0.512744423525,0.560638133415,6173.0,6080.0,6266.0,0.17,0.07,0.27,11.6,1.03462953383,0.707442748798,1.26446674288
Kepler-911,K01621.01,0.425758392359,0.0948016955903,0.594018286914,20.3089542016,20.3096831463,2.44119649274,2.55130138644,0.0576432000576,0.0564509859412,0.0589429699765,0.0115864636544,0.0111223213737,0.0126111566296,1.22,1.14,1.3,1.93,1.89,1.97,0.239468549449,0.223973525661,0.254963573237,6081.0,6006.0,6156.0,-0.03,-0.13,0.07,11.855,0.507626052229,0.213355974624,0.835088155166
Kepler-997,K01883.01,0.138641635384,6.33632398639e-06,0.363188022767,2.70729471105,2.70733117839,1.30408425609,1.3760463316,0.176720275043,0.173472259207,0.180226076185,0.00807141005895,0.00784197363065,0.00831004698705,1.09,0.91,1.27,1.48,1.41,1.55,0.467667990688,0.440903858691,0.494432122685,6287.0,6118.0,6456.0,-0.27,-0.57,0.03,11.894,0.932305375489,0.597476872735,1.13305552451
Kepler-1002,K01890.01,0.067458645497,3.30542576647e-07,0.318451006031,4.33642218597,4.33645304183,1.60911170625,1.65534444906,0.130546945261,0.129088938681,0.132073137056,0.00957130043982,0.00932599560532,0.00988534994861,1.18,1.11,1.25,1.54,1.52,1.56,0.4521729669,0.436677943112,0.467667990688,6099.0,6024.0,6174.0,0.04,-0.06,0.14,11.704,0.994833179697,0.750520555716,1.1681014032
Kepler-409,K01925.01,0.049325337191,4.75029859225e-07,0.415954935969,68.9582516434,68.9585394133,1.14807908801,1.19590709433,0.0129680699913,0.0128436526611,0.0130974528212,0.0116851629308,0.0112734108574,0.0122076443332,0.95,0.87,1.03,0.9,0.88,0.92,1.82418689139,1.7706586274,1.87771515538,5460.0,5385.0,5535.0,0.08,-0.02,0.18,9.439,1.15578542375,0.648235760702,1.75687394169
K01962.01,K01962.01,0.813972038565,0.587400456188,0.958877406168,32.8586106221,32.8591867911,2.51315092372,2.65736182989,0.0341616182002,0.0336654248264,0.0346884220498,0.0153473284132,0.0145675328979,0.0180491457628,1.04,0.97,1.11,1.5,1.46,1.54,0.439495220165,0.419774280799,0.459216159531,5904.0,5819.0,5989.0,-0.07,-0.17,0.03,10.77,0.0960175773692,0.0270353898062,0.244308324305
K01964.01,K01964.01,0.12768191474,4.63556165986e-08,0.370762693403,2.22932256012,2.2293310111,0.66814726694,0.69715720633,0.126120289029,0.124866038607,0.127426502647,0.00695496581059,0.00676795941434,0.00716554567602,0.93,0.82,1.04,0.88,0.85,0.91,1.89743609475,1.83968191518,1.95519027432,5547.0,5447.0,5647.0,-0.04,-0.19,0.11,10.687,0.934187425012,0.635894626495,1.14101226759
Kepler-1219,K02390.01,0.633835921034,0.366636649099,0.846230302886,16.1046059293,16.1058514437,3.41933043022,3.78760702127,0.0895939181144,0.0834819707391,0.0980095657973,0.0116872343512,0.0110580322953,0.0127845377321,1.38,0.88,1.88,2.68,2.43,2.93,0.101421973884,0.0774751189391,0.125368828829,6056.0,5891.0,6221.0,-0.17,-0.47,0.13,12.249,0.234055764512,0.0576245911616,0.449337532545
K02462.01,K02462.01,0.0550668005193,2.96180989132e-07,0.354551000938,12.1453321315,12.1460356783,1.49109825349,1.573691171,0.0727968351036,0.071699729137,0.0739643298557,0.0079875874589,0.00758653830563,0.00840849967145,1.19,1.09,1.29,1.71,1.67,1.75,0.332438692176,0.316943668388,0.347933715964,6007.0,5887.0,6127.0,0.05,-0.1,0.2,11.821,1.05692314923,0.712623504577,1.32539710832
Kepler-1274,K02545.01,0.0284592409801,2.05087488837e-07,0.368710306638,6.98155651858,6.98176495925,1.44082126597,1.51226929734,0.126225684773,0.123860241863,0.128782846773,0.00611029015873,0.00582921185803,0.00642679455428,1.38,1.31,1.45,2.16,2.12,2.2,0.192983478085,0.181714369876,0.204252586294,6131.0,6056.0,6206.0,0.13,0.03,0.23,11.752,1.17073564584,0.853150023796,1.50747993687
Kepler-1298,K02632.01,0.189502082821,2.586757603e-08,0.386748835567,7.12836322437,7.1288298338,1.58792511374,1.67648327147,0.124790994702,0.119986505658,0.130470971278,0.00673413380581,0.00642848847274,0.00714607249692,1.37,1.2,1.54,2.16,2.09,2.23,0.191574839559,0.167627984614,0.215521694504,6467.0,6294.0,6640.0,-0.1,-0.4,0.2,11.392,0.877021426682,0.458765982207,1.09084524904
K02706.01,K02706.01,0.0314121803756,2.48268745259e-07,0.375244314015,3.09759730665,3.09761883122,1.79675835507,1.8791679354,0.192569469557,0.184737530178,0.201924872553,0.00884875568025,0.00870780257843,0.00905484751788,1.26,1.08,1.44,1.86,1.78,1.94,0.276093151129,0.239468549449,0.312717752809,6491.0,6422.0,6560.0,-0.2,-0.5,0.1,10.268,1.187306807,0.839053309506,1.50324969342
Kepler-1392,K02792.01,0.0395758009728,8.22912739746e-08,0.34839583615,2.12822939709,2.12825309853,0.684424617437,0.736481560715,0.187751954507,0.1849067891,0.190780732996,0.00482267221357,0.00453111550338,0.00513588008507,0.99,0.84,1.14,1.3,1.24,1.36,0.631070059723,0.601488650673,0.660651468773,5998.0,5941.0,6055.0,-0.2,-0.5,0.1,11.126,0.997625242155,0.65401200108,1.20194562808
K02801.01,K02801.01,0.0283462236899,6.60128070605e-09,0.368647327777,6.99180475795,6.99196658945,0.870480570569,0.931236742229,0.0910463990422,0.0895152393013,0.0926880054381,0.00549916252243,0.00519006986945,0.00579910546529,1.12,0.95,1.29,1.45,1.39,1.51,0.512744423525,0.485980291528,0.539508555522,6115.0,5950.0,6280.0,-0.06,-0.36,0.24,10.787,1.12421198432,0.851076344963,1.3930749011
Kepler-1394,K02956.01,0.0364287744765,1.67982815084e-06,0.454976968765,3.93800409623,3.93832800655,1.04101462482,1.15064742935,0.164091706073,0.157655053524,0.171727540814,0.00481611796428,0.00434772904277,0.0052383412143,1.51,1.3,1.72,1.98,1.9,2.06,0.276093151129,0.240877187975,0.311309114283,6718.0,6535.0,6901.0,-0.06,-0.36,0.24,11.801,1.30976687809,0.714720959112,1.91926122786
K03168.01,K03168.01,0.232818949307,0.139660057387,0.57224373506,56.38298791,56.4275463218,0.987541585157,1.06319162379,0.0247690361369,0.0242564254674,0.0253279237116,0.00583618661007,0.005475064189,0.00618913383726,1.03,0.87,1.19,1.55,1.48,1.62,0.391601510275,0.366246016804,0.416957003746,5968.0,5909.0,6027.0,-0.2,-0.5,0.1,10.455,1.93024277479,1.25124709552,2.50122191307
