Kepler,koiname,Ecc,Ecc_low,Ecc_upp,Period,U_Per,Rp,U_Rp,Rovera,Rovera_low,Rovera-upp,RpRs,RpRs_low,RpRs_upp,Mstar,Mstar_low,Mstar_upp,Rstar,Rstar_low,Rstar_upp,Rho,Rho_low,Rho_upp,Temperature,Temperature_low,Temperature_upp,Metl,Metl_low,Metl_upp,Kepmag,relrho,relrho_low,relrho_upp
Kepler-10b,K00072.01,0.0623705476956,3.5753513257e-05,0.216532292407,0.837490261351,0.837490547962,1.47303566411,1.49901470917,0.29339581854,0.292738490593,0.294461896779,0.0126556405759,0.0124481515732,0.0128690531138,0.9195,0.8995,0.9295,1.06619,1.05866,1.07312,1.06793928,1.05638203,1.07514944,5678.29,5628.83,5733.5,-0.097,-0.153,-0.041,10.961,1.06521380947,0.814045022212,1.21812260128
Kepler-10c,K00072.02,0.0542325070143,2.55902702437e-07,0.247055874547,45.2942924869,45.2943896181,2.32267224282,2.35078817409,0.020515311249,0.0204693484691,0.0205898553478,0.0199553247738,0.0197515421921,0.0204787823036,0.9195,0.8995,0.9295,1.06619,1.05866,1.07312,1.06793928,1.05638203,1.07514944,5678.29,5628.83,5733.5,-0.097,-0.153,-0.041,10.961,1.02590156398,0.827717667769,1.25035756293
Kepler-23b,K00168.03,0.0629548777067,7.58605133234e-07,0.324926663061,7.10699516265,7.10706791495,1.69431270439,1.77012086264,0.0970295428343,0.095280195288,0.0989148770993,0.0100260089107,0.00970261296042,0.0103240181673,1.078,1.001,1.155,1.548,1.5,1.596,0.41,0.387,0.433,5828.0,5728.0,5928.0,-0.05,-0.15,0.05,13.438,0.958123067665,0.628750074566,1.11911288418
Kepler-23c,K00168.01,0.0223147153123,9.07076472347e-07,0.411017890935,10.7424349091,10.7424742415,3.11693434925,3.22070097072,0.0736703688841,0.0723421643468,0.0751018223024,0.0184442998502,0.0182208068078,0.0195020203637,1.078,1.001,1.155,1.548,1.5,1.596,0.41,0.387,0.433,5828.0,5728.0,5928.0,-0.05,-0.15,0.05,13.438,1.40814164749,0.894333546434,2.09182701739
Kepler-23d,K00168.02,0.0786999019234,1.02361739227e-05,0.320791934692,15.2742975024,15.2744650403,2.23474142786,2.3228855595,0.0582622387059,0.0572118276523,0.0593943041757,0.0132239682857,0.0129016064986,0.0136125491275,1.078,1.001,1.155,1.548,1.5,1.596,0.41,0.387,0.433,5828.0,5728.0,5928.0,-0.05,-0.15,0.05,13.438,0.979074208678,0.702637253931,1.1679637698
Kepler-25b,K00244.02,0.0493088547573,0.000219034132202,0.164846235185,6.23853692601,6.23854019392,2.70174609122,2.73907956922,0.0867184780039,0.0863612236137,0.0871032230007,0.0190474668393,0.0188963481996,0.0191350026176,1.1595,1.1095,1.1996,1.29931,1.28344,1.31401,0.74536228,0.73552879,0.75465072,6315.32,6246.52,6381.86,0.0,-0.1,0.1,10.734,0.892486042815,0.805432912265,0.984883008383
Kepler-25c,K00244.01,0.00698609334055,5.17575289154e-07,0.0833812138723,12.7203678329,12.7203713391,5.15447077588,5.21451269412,0.0539304073158,0.0537082300449,0.0541696810539,0.0363393183012,0.0362385587224,0.0364194231296,1.1595,1.1095,1.1996,1.29931,1.28344,1.31401,0.74536228,0.73552879,0.75465072,6315.32,6246.52,6381.86,0.0,-0.1,0.1,10.734,0.99307061149,0.968687706005,1.01523925922
Kepler-37b,K00245.03,0.078601170634,2.09532514693e-06,0.289691447137,13.3680502827,13.3684288124,0.353880639849,0.367901361041,0.0349221123028,0.0348205134463,0.035041680197,0.00419643651333,0.00403249871999,0.0043489844236,0.8098,0.7998,0.8298,0.77247,0.76622,0.77757,2.48559403,2.460237,2.50741488,5429.68,5382.95,5492.59,-0.29,-0.346,-0.235,9.705,0.922784139373,0.686677478685,1.07844443191
Kepler-37c,K00245.02,0.0881989400204,2.4741346881e-08,0.266133092291,21.3020713008,21.3021635911,0.704585442013,0.716608331228,0.0255975261645,0.0255230553144,0.0256851681224,0.0083552128675,0.0082237453832,0.00861830060602,0.8098,0.7998,0.8298,0.77247,0.76622,0.77757,2.48559403,2.460237,2.50741488,5429.68,5382.95,5492.59,-0.29,-0.346,-0.235,9.705,0.94554573318,0.726367989738,1.12415318323
Kepler-37d,K00245.01,0.147194821656,0.0467409474759,0.217272502457,39.7922317422,39.7922470985,1.92151630099,1.94549379843,0.0168764211042,0.016827322554,0.0169342033516,0.0227859912593,0.0225447156116,0.0230753434518,0.8098,0.7998,0.8298,0.77247,0.76622,0.77757,2.48559403,2.460237,2.50741488,5429.68,5382.95,5492.59,-0.29,-0.346,-0.235,9.705,0.764103883786,0.606970761593,0.826354289771
